Verb,Tense,Person,English,Kurdish (Latin),Kurdish (Arabic)
Shake Something,Present,You (pl.),You shake,hîn  di lerzînin,ھین د لەرزینن
Shake Something,Present,They,They shake,ew  di lerzînin,ئەو د لەرزینن
Shake Something,Future,I,I will shake,ez dê  lerzînim,ئەز دێ لەرزینم
Shake Something,Future,You,You will shake,tu dê  lerzînî,تو دێ لەرزینی
Shake Something,Future,He/She,He/She will shake,ew dê  lerzînit,ئەو دێ لەرزینیت
Shake Something,Future,We,We will shake,em dê  lerzînîn,ئەم دێ لەرزینین
Shake Something,Future,You (pl.),You will shake,hîn dê  lerzînin,ھین دێ لەرزینن
Shake Something,Future,They,They will shake,ew dê  lerzînin,ئەو دێ لەرزینن
Shave,Past,I,I shaved,min  tiraşîn,من تراشین
Shave,Past,You,You shaved,te  tiraşîn,تە تراشین
Shave,Past,He/She,He/She shaved,ewî/ewê  tiraşîn,ئەوی/ئەوێ تراشین
Shave,Past,We,We shaved,me  tiraşîn,مە تراشین
Shave,Past,You (pl.),You shaved,hewe  tiraşîn,ھەوە تراشین
Shave,Past,They,They shaved,ewan  tiraşîn,ئەوان تراشین
Shave,Present,I,I shave,ez  di tiraşim,ئەز د تراشم
Shave,Present,You,You shave,tu  di tiraşî,تو د تراشی
Shave,Present,He/She,He/She shaves,ew  di tiraşit,ئەو د تراشیت
Shave,Present,We,We shave,em  di tiraşîn,ئەم د تراشین
Shave,Present,You (pl.),You shave,hîn  di tiraşin,ھین د تراشن
Shave,Present,They,They shave,ew  di tiraşin,ئەو د تراشن
Shave,Future,I,I will shave,ez dê  tiraşim,ئەز دێ تراشم
Shave,Future,You,You will shave,tu dê  tiraşî,تو دێ تراشی
Shave,Future,He/She,He/She will shave,ew dê  tiraşit,ئەو دێ تراشیت
Shave,Future,We,We will shave,em dê  tiraşîn,ئەم دێ تراشین
Shave,Future,You (pl.),You will shave,hîn dê  tiraşin,ھین دێ تراشن
Shave,Future,They,They will shave,ew dê  tiraşin,ئەو دێ تراشن
Shoot,Past,I,I shot,min dana golê,من دانا گولێ
Shoot,Past,You,You shot,te dana golê,تە دانا گولێ
Shoot,Past,He/She,He/She shot,ewî/ewê dana golê,ئەوی/ئەوێ دانا گولێ
Shoot,Past,We,We shot,me dana golê,مە دانا گولێ
Shoot,Past,You (pl.),You shot,hewe dana golê,ھەوە دانا گولێ
Shoot,Past,They,They shot,ewan dana golê,ئەوان دانا گولێ
Shoot,Present,I,I shoot,ez di danme golê,ئەز د دانمە گولێ
Shoot,Present,You,You shoot,tu di danye golê,تو د دانیە گولێ
Shoot,Present,He/She,He/She shoots,ew di dante golê,ئەو د دانتە گولێ
Shoot,Present,We,We shoot,em di danne golê,ئەم د داننە گولێ
Shoot,Present,You (pl.),You shoot,hîn di danne golê,ھین د داننە گولێ
Shoot,Present,They,They shoot,ew di danne golê,ئەو د داننە گولێ
Shoot,Future,I,I will shoot,ez dê danme golê,ئەز دێ دانمە گولێ
Shoot,Future,You,You will shoot,tu dê danye golê,تو دێ دانیە گولێ
Shoot,Future,He/She,He/She will shoot,ew dê dante golê,ئەو دێ دانتە گولێ
Shoot,Future,We,We will shoot,em dê danne golê,ئەم دێ داننە گولێ
Shoot,Future,You (pl.),You will shoot,hîn dê danne golê,ھین دێ داننە گولێ
Shoot,Future,They,They will shoot,ew dê danne golê,ئەو دێ داننە گولێ
Shoot A Weapon,Past,I,I shot,min telqek (li OW) da,من تەلقەك دا
Shoot A Weapon,Past,You,You shot,te telqek (li OW) da,تە تەلقەك دا
Shoot A Weapon,Past,He/She,He/She shot,ewî/ewê telqek (li OW) da,ئەوی/ئەوێ تەلقەك دا
Shoot A Weapon,Past,We,We shot,me telqek (li OW) da,مە تەلقەك دا
Shoot A Weapon,Past,You (pl.),You shot,hewe telqek (li OW) da,ھەوە تەلقەك دا
Shoot A Weapon,Past,They,They shot,ewan telqek (li OW) da,ئەوان تەلقەك دا
Shoot A Weapon,Present,I,I shoot,ez telqekê (li OW) di dem,ئەز تەلقەكێ د دەم
Shoot A Weapon,Present,You,You shoot,tu telqekê (li OW) di dey,تو تەلقەكێ د دەی
Shoot A Weapon,Present,He/She,He/She shoots,ew telqekê (li OW) di det,ئەو تەلقەكێ د دەت
Shoot A Weapon,Present,We,We shoot,em telqekê (li OW) di deyn,ئەم تەلقەكێ د دەین
Shoot A Weapon,Present,You (pl.),You shoot,hîn telqekê (li OW) di den,ھین تەلقەكێ د دەن
Shoot A Weapon,Present,They,They shoot,ew telqekê (li OW) di den,ئەو تەلقەكێ د دەن
Shoot A Weapon,Future,I,I will shoot,ez dê telqekê (li OW) dem,ئەز دێ تەلقەكێ دەم
Shoot A Weapon,Future,You,You will shoot,tu dê telqekê (li OW) dey,تو دێ تەلقەكێ دەی
Shoot A Weapon,Future,He/She,He/She will shoot,ew dê telqekê (li OW) det,ئەو دێ تەلقەكێ دەت
Shoot A Weapon,Future,We,We will shoot,em dê telqekê (li OW) deyn,ئەم دێ تەلقەكێ دەین
Shoot A Weapon,Future,You (pl.),You will shoot,hîn dê telqekê (li OW) den,ھین دێ تەلقەكێ دەن
Shoot A Weapon,Future,They,They will shoot,ew dê telqekê (li OW) den,ئەو دێ تەلقەكێ دەن
Shoot At With A Weapon,Past,I,I shot,min telqek dana ,من تەلقەك دانا
Shoot At With A Weapon,Past,You,You shot,te telqek dana ,تە تەلقەك دانا
Shoot At With A Weapon,Past,He/She,He/She shot,ewî/ewê telqek dana ,ئەوی/ئەوێ تەلقەك دانا
Shoot At With A Weapon,Past,We,We shot,me telqek dana ,مە تەلقەك دانا
Shoot At With A Weapon,Past,You (pl.),You shot,hewe telqek dana ,ھەوە تەلقەك دانا
Shoot At With A Weapon,Past,They,They shot,ewan telqek dana ,ئەوان تەلقەك دانا
Shoot At With A Weapon,Present,I,I shoot,ez telqekê di danim(e OW),ئەز تەلقەكێ د دانم
Shoot At With A Weapon,Present,You,You shoot,tu telqekê di dan(iye OW),تو تەلقەكێ د دان
Shoot At With A Weapon,Present,He/She,He/She shoots,ew telqekê di danit(e OW),ئەو تەلقەكێ د دانت
Shoot At With A Weapon,Present,We,We shoot,em telqekê di danîn(e OW),ئەم تەلقەكێ د دانین
Shoot At With A Weapon,Present,You (pl.),You shoot,hîn telqekê di danin(e OW),ھین تەلقەكێ د دانن
Shoot At With A Weapon,Present,They,They shoot,ew telqekê di danin(e OW),ئەو تەلقەكێ د دانن
Shoot At With A Weapon,Future,I,I will shoot,ez dê telqekê danim(e OW),ئەز دێ تەلقەكێ دانم
Shoot At With A Weapon,Future,You,You will shoot,tu dê telqekê dan(iye OW),تو دێ تەلقەكێ دان
Shoot At With A Weapon,Future,He/She,He/She will shoot,ew dê telqekê danit(e OW),ئەو دێ تەلقەكێ دانت
Shoot At With A Weapon,Future,We,We will shoot,em dê telqekê danîn(e OW),ئەم دێ تەلقەكێ دانین
Shoot At With A Weapon,Future,You (pl.),You will shoot,hîn dê telqekê danin(e OW),ھین دێ تەلقەكێ دانن
Shoot At With A Weapon,Future,They,They will shoot,ew dê telqekê danin(e OW),ئەو دێ تەلقەكێ دانن
Show,Past,I,I showed,min  dîyar kir,من دییار كر
Show,Past,You,You showed,te  dîyar kir,تە دییار كر
Show,Past,He/She,He/She showed,ewî/ewê  dîyar kir,ئەوی/ئەوێ دییار كر
Show,Past,We,We showed,me  dîyar kir,مە دییار كر
Show,Past,You (pl.),You showed,hewe  dîyar kir,ھەوە دییار كر
Show,Past,They,They showed,ewan  dîyar kir,ئەوان دییار كر
Show,Present,I,I show,ez  dîyar di kem,ئەز دییار د كەم
Show,Present,You,You show,tu  dîyar di key,تو دییار د كەی
Show,Present,He/She,He/She shows,ew  dîyar di ket,ئەو دییار د كەت
Show,Present,We,We show,em  dîyar di keyn,ئەم دییار د كەین
Show,Present,You (pl.),You show,hîn  dîyar di ken,ھین دییار د كەن
Show,Present,They,They show,ew  dîyar di ken,ئەو دییار د كەن
Show,Future,I,I will show,ez dê  dîyar kem,ئەز دێ دییار كەم
Show,Future,You,You will show,tu dê  dîyar key,تو دێ دییار كەی
Show,Future,He/She,He/She will show,ew dê  dîyar ket,ئەو دێ دییار كەت
Show,Future,We,We will show,em dê  dîyar keyn,ئەم دێ دییار كەین
Show,Future,You (pl.),You will show,hîn dê  dîyar ken,ھین دێ دییار كەن
Show,Future,They,They will show,ew dê  dîyar ken,ئەو دێ دییار كەن
Show Someone Around,Past,I,I showed around, ez li dur  zivirandim,ئەز ل دور زڤراندم
Show Someone Around,Past,You,You showed around, tu li dur  zivirandî,تو ل دور زڤراندی
Show Someone Around,Past,He/She,He/She showed around, ew li dur  zivirand,ئەو ل دور زڤراند
Show Someone Around,Past,We,We showed around, em li dur  zivirandîn,ئەم ل دور زڤراندین
Show Someone Around,Past,You (pl.),You showed around, hîn li dur  zivirandin,ھین ل دور زڤراندن
Show Someone Around,Past,They,They showed around, ew li dur  zivirandin,ئەو ل دور زڤراندن
Show Someone Around,Present,I,I show around,ez  li dur  di zivirînim,ئەز ل دور د زڤرینم
Show Someone Around,Present,You,You show around,tu  li dur  di zivirînî,تو ل دور د زڤرینی
Show Someone Around,Present,He/She,He/She shows around,ew  li dur  di zivirînit,ئەو ل دور د زڤرینیت
Show Someone Around,Present,We,We show around,em  li dur  di zivirînîn,ئەم ل دور د زڤرینین
Show Someone Around,Present,You (pl.),You show around,hîn  li dur  di zivirînin,ھین ل دور د زڤرینن
Show Someone Around,Present,They,They show around,ew  li dur  di zivirînin,ئەو ل دور د زڤرینن
Show Someone Around,Future,I,I will show around,ez dê  li dur  zivirînim,ئەز دێ ل دور زڤرینم
Show Someone Around,Future,You,You will show around,tu dê  li dur  zivirînî,تو دێ ل دور زڤرینی
Show Someone Around,Future,He/She,He/She will show around,ew dê  li dur  zivirînit,ئەو دێ ل دور زڤرینیت
Show Someone Around,Future,We,We will show around,em dê  li dur  zivirînîn,ئەم دێ ل دور زڤرینین
Show Someone Around,Future,You (pl.),You will show around,hîn dê  li dur  zivirînin,ھین دێ ل دور زڤرینن
Show Someone Around,Future,They,They will show around,ew dê  li dur  zivirînin,ئەو دێ ل دور زڤرینن
Sign,Past,I,I signed,min  imza kir,من ئمزا كر
Sign,Past,You,You signed,te  imza kir,تە ئمزا كر
Sign,Past,He/She,He/She signed,ewî/ewê  imza kir,ئەوی/ئەوێ ئمزا كر
Sign,Past,We,We signed,me  imza kir,مە ئمزا كر
Sign,Past,You (pl.),You signed,hewe  imza kir,ھەوە ئمزا كر
Sign,Past,They,They signed,ewan  imza kir,ئەوان ئمزا كر
Sign,Present,I,I sign,ez  imza di kem,ئەز ئمزا د كەم
Sign,Present,You,You sign,tu  imza di key,تو ئمزا د كەی
Sign,Present,He/She,He/She signs,ew  imza di ket,ئەو ئمزا د كەت
Sign,Present,We,We sign,em  imza di keyn,ئەم ئمزا د كەین
Sign,Present,You (pl.),You sign,hîn  imza di ken,ھین ئمزا د كەن
Sign,Present,They,They sign,ew  imza di ken,ئەو ئمزا د كەن
Sign,Future,I,I will sign,ez dê  imza kem,ئەز دێ ئمزا كەم
Sign,Future,You,You will sign,tu dê  imza key,تو دێ ئمزا كەی
Sign,Future,He/She,He/She will sign,ew dê  imza ket,ئەو دێ ئمزا كەت
Sign,Future,We,We will sign,em dê  imza keyn,ئەم دێ ئمزا كەین
Sign,Future,You (pl.),You will sign,hîn dê  imza ken,ھین دێ ئمزا كەن
Sign,Future,They,They will sign,ew dê  imza ken,ئەو دێ ئمزا كەن
Sin,Past,I,I sinned,min guneh kir,من گونەھ كر
Sin,Past,You,You sinned,te guneh kir,تە گونەھ كر
Sin,Past,He/She,He/She sinned,ewî/ewê guneh kir,ئەوی/ئەوێ گونەھ كر
Sin,Past,We,We sinned,me guneh kir,مە گونەھ كر
Sin,Past,You (pl.),You sinned,hewe guneh kir,ھەوە گونەھ كر
Sin,Past,They,They sinned,ewan guneh kir,ئەوان گونەھ كر
Sin,Present,I,I sin,ez guneha di kem,ئەز گونەھا د كەم
Sin,Present,You,You sin,tu guneha di key,تو گونەھا د كەی
Sin,Present,He/She,He/She sins,ew guneha di ket,ئەو گونەھا د كەت
Sin,Present,We,We sin,em guneha di keyn,ئەم گونەھا د كەین
Sin,Present,You (pl.),You sin,hîn guneha di ken,ھین گونەھا د كەن
Sin,Present,They,They sin,ew guneha di ken,ئەو گونەھا د كەن
Sin,Future,I,I will sin,ez dê guneha kem,ئەز دێ گونەھا كەم
Sin,Future,You,You will sin,tu dê guneha key,تو دێ گونەھا كەی
Sin,Future,He/She,He/She will sin,ew dê guneha ket,ئەو دێ گونەھا كەت
Sin,Future,We,We will sin,em dê guneha keyn,ئەم دێ گونەھا كەین
Sin,Future,You (pl.),You will sin,hîn dê guneha ken,ھین دێ گونەھا كەن
Sin,Future,They,They will sin,ew dê guneha ken,ئەو دێ گونەھا كەن
Sing,Past,I,I sang,min stran guten,من ستران گوتەن
Sing,Past,You,You sang,te stran guten,تە ستران گوتەن
Sing,Past,He/She,He/She sang,ewî/ewê stran guten,ئەوی/ئەوێ ستران گوتەن
Sing,Past,We,We sang,me stran guten,مە ستران گوتەن
Sing,Past,You (pl.),You sang,hewe stran guten,ھەوە ستران گوتەن
Sing,Past,They,They sang,ewan stran guten,ئەوان ستران گوتەن
Sing,Present,I,I sing,ez strana di bejim,ئەز سترانا د بەژم
Sing,Present,You,You sing,tu strana di bejî,تو سترانا د بەژی
Sing,Present,He/She,He/She sings,ew strana di bejit,ئەو سترانا د بەژیت
Sing,Present,We,We sing,em strana di bejîn,ئەم سترانا د بەژین
Sing,Present,You (pl.),You sing,hîn strana di bejin,ھین سترانا د بەژن
Sing,Present,They,They sing,ew strana di bejin,ئەو سترانا د بەژن
Sing,Future,I,I will sing,ez dê strana bejim,ئەز دێ سترانا بەژم
Sing,Future,You,You will sing,tu dê strana bejî,تو دێ سترانا بەژی
Sing,Future,He/She,He/She will sing,ew dê strana bejit,ئەو دێ سترانا بەژیت
Sing,Future,We,We will sing,em dê strana bejîn,ئەم دێ سترانا بەژین
Sing,Future,You (pl.),You will sing,hîn dê strana bejin,ھین دێ سترانا بەژن
Sing,Future,They,They will sing,ew dê strana bejin,ئەو دێ سترانا بەژن
Sit,Past,I,I sat,ez rîniştim,ئەز رینشتم
Sit,Past,You,You sat,tu rîniştî,تو رینشتی
Sit,Past,He/She,He/She sat,ew rînişt,ئەو رینشت
Sit,Past,We,We sat,em rîniştîn,ئەم رینشتین
Sit,Past,You (pl.),You sat,hîn rîniştin,ھین رینشتن
Sit,Past,They,They sat,ew rîniştin,ئەو رینشتن
Sit,Present,I,I sit,ez di rînim,ئەز د رینم
Sit,Present,You,You sit,tu di rînî,تو د رینی
Sit,Present,He/She,He/She sits,ew di rînit,ئەو د رینیت
Sit,Present,We,We sit,em di rînîn,ئەم د رینین
Sit,Present,You (pl.),You sit,hîn di rînin,ھین د رینن
Sit,Present,They,They sit,ew di rînin,ئەو د رینن
Sit,Future,I,I will sit,ez dê rînim,ئەز دێ رینم
Sit,Future,You,You will sit,tu dê rînî,تو دێ رینی
Sit,Future,He/She,He/She will sit,ew dê rînit,ئەو دێ رینیت
Sit,Future,We,We will sit,em dê rînîn,ئەم دێ رینین
Sit,Future,You (pl.),You will sit,hîn dê rînin,ھین دێ رینن
Sit,Future,They,They will sit,ew dê rînin,ئەو دێ رینن
Sleep,Past,I,I slept,ez nivistim,ئەز نڤستم
Sleep,Past,You,You slept,tu nivistî,تو نڤستی
Sleep,Past,He/She,He/She slept,ew nivist,ئەو نڤست
Sleep,Past,We,We slept,em nivistîn,ئەم نڤستین
Sleep,Past,You (pl.),You slept,hîn nivistin,ھین نڤستن
Sleep,Past,They,They slept,ew nivistin,ئەو نڤستن
Sleep,Present,I,I sleep,&lt;Not Used&gt;,نە
Sleep,Present,You,You sleep,&lt;Not Used&gt;,نە
Sleep,Present,He/She,He/She sleeps,&lt;Not Used&gt;,نە
Sleep,Present,We,We sleep,&lt;Not Used&gt;,نە
Sleep,Present,You (pl.),You sleep,&lt;Not Used&gt;,نە
Sleep,Present,They,They sleep,&lt;Not Used&gt;,نە
Sleep,Future,I,I will sleep,ez dê nivim,ئەز دێ نڤم
Sleep,Future,You,You will sleep,tu dê nivî,تو دێ نڤی
Sleep,Future,He/She,He/She will sleep,ew dê nivit,ئەو دێ نڤیت
Sleep,Future,We,We will sleep,em dê nivîn,ئەم دێ نڤین
Sleep,Future,You (pl.),You will sleep,hîn dê nivin,ھین دێ نڤن
Sleep,Future,They,They will sleep,ew dê nivin,ئەو دێ نڤن
Slip,Past,I,I slipped,ez teḧsîm,ئەز تەحسیم
Slip,Past,You,You slipped,tu teḧsî,تو تەحسی
Slip,Past,He/She,He/She slipped,ew teḧsî,ئەو تەحسی
Slip,Past,We,We slipped,em teḧsîn,ئەم تەحسین
Slip,Past,You (pl.),You slipped,hîn teḧsîn,ھین تەحسین
Slip,Past,They,They slipped,ew teḧsîn,ئەو تەحسین
Slip,Present,I,I slip,ez di teḧsim,ئەز د تەحسم
Slip,Present,You,You slip,tu di teḧsî,تو د تەحسی
Slip,Present,He/She,He/She slips,ew di teḧsit,ئەو د تەحسیت
Slip,Present,We,We slip,em di teḧsîn,ئەم د تەحسین
Slip,Present,You (pl.),You slip,hîn di teḧsin,ھین د تەحسن
Slip,Present,They,They slip,ew di teḧsin,ئەو د تەحسن
Slip,Future,I,I will slip,ez dê teḧsim,ئەز دێ تەحسم
Slip,Future,You,You will slip,tu dê teḧsî,تو دێ تەحسی
Slip,Future,He/She,He/She will slip,ew dê teḧsit,ئەو دێ تەحسیت
Slip,Future,We,We will slip,em dê teḧsîn,ئەم دێ تەحسین
Slip,Future,You (pl.),You will slip,hîn dê teḧsin,ھین دێ تەحسن
Slip,Future,They,They will slip,ew dê teḧsin,ئەو دێ تەحسن
Smash,Past,I,I smashed,min kebis kir,من كەبس كر
Smash,Past,You,You smashed,te kebis kir,تە كەبس كر
Smash,Past,He/She,He/She smashed,ewî/ewê kebis kir,ئەوی/ئەوێ كەبس كر
Smash,Past,We,We smashed,me kebis kir,مە كەبس كر
Smash,Past,You (pl.),You smashed,hewe kebis kir,ھەوە كەبس كر
Smash,Past,They,They smashed,ewan kebis kir,ئەوان كەبس كر
Smash,Present,I,I smash,ez kebis di kem,ئەز كەبس د كەم
Smash,Present,You,You smash,tu kebis di key,تو كەبس د كەی
Smash,Present,He/She,He/She smashes,ew kebis di ket,ئەو كەبس د كەت
Smash,Present,We,We smash,em kebis di keyn,ئەم كەبس د كەین
Smash,Present,You (pl.),You smash,hîn kebis di ken,ھین كەبس د كەن
Smash,Present,They,They smash,ew kebis di ken,ئەو كەبس د كەن
Smash,Future,I,I will smash,ez dê kebis kem,ئەز دێ كەبس كەم
Smash,Future,You,You will smash,tu dê kebis key,تو دێ كەبس كەی
Smash,Future,He/She,He/She will smash,ew dê kebis ket,ئەو دێ كەبس كەت
Smash,Future,We,We will smash,em dê kebis keyn,ئەم دێ كەبس كەین
Smash,Future,You (pl.),You will smash,hîn dê kebis ken,ھین دێ كەبس كەن
Smash,Future,They,They will smash,ew dê kebis ken,ئەو دێ كەبس كەن
Smell,Past,I,I smelled,min bihin kire ,من بھن كرە
Smell,Past,You,You smelled,te bihin kire ,تە بھن كرە
Smell,Past,He/She,He/She smelled,ewî/ewê bihin kire ,ئەوی/ئەوێ بھن كرە
Smell,Past,We,We smelled,me bihin kire ,مە بھن كرە
Smell,Past,You (pl.),You smelled,hewe bihin kire ,ھەوە بھن كرە
Smell,Past,They,They smelled,ewan bihin kire ,ئەوان بھن كرە
Smell,Present,I,I smell,ez bihin di keme ,ئەز بھن د كەمە
Smell,Present,You,You smell,tu bihin di keyye ,تو بھن د كەییە
Smell,Present,He/She,He/She smells,ew bihin di kete ,ئەو بھن د كەتە
Smell,Present,We,We smell,em bihin di keyne ,ئەم بھن د كەینە
Smell,Present,You (pl.),You smell,hîn bihin di kene ,ھین بھن د كەنە
Smell,Present,They,They smell,ew bihin di kene ,ئەو بھن د كەنە
Smell,Future,I,I will smell,ez dê bihin keme ,ئەز دێ بھن كەمە
Smell,Future,You,You will smell,tu dê bihin keyye ,تو دێ بھن كەییە
Smell,Future,He/She,He/She will smell,ew dê bihin kete ,ئەو دێ بھن كەتە
Smell,Future,We,We will smell,em dê bihin keyne ,ئەم دێ بھن كەینە
Smell,Future,You (pl.),You will smell,hîn dê bihin kene ,ھین دێ بھن كەنە
Smell,Future,They,They will smell,ew dê bihin kene ,ئەو دێ بھن كەنە
Smile,Past,I,I smiled,ez (bu OW) girnijîm,ئەز گرنژیم
Smile,Past,You,You smiled,tu (bu OW) girnijî,تو گرنژی
Smile,Past,He/She,He/She smiled,ew (bu OW) girnijî,ئەو گرنژی
Smile,Past,We,We smiled,em (bu OW) girnijîn,ئەم گرنژین
Smile,Past,You (pl.),You smiled,hîn (bu OW) girnijîn,ھین گرنژین
Smile,Past,They,They smiled,ew (bu OW) girnijîn,ئەو گرنژین
Smile,Present,I,I smile,ez (bu OW) di girnijim,ئەز د گرنژم
Smile,Present,You,You smile,tu (bu OW) di girnijî,تو د گرنژی
Smile,Present,He/She,He/She smiles,ew (bu OW) di girnijit,ئەو د گرنژیت
Smile,Present,We,We smile,em (bu OW) di girnijîn,ئەم د گرنژین
Smile,Present,You (pl.),You smile,hîn (bu OW) di girnijin,ھین د گرنژن
Smile,Present,They,They smile,ew (bu OW) di girnijin,ئەو د گرنژن
Smile,Future,I,I will smile,ez dê (bu OW) girnijim,ئەز دێ گرنژم
Smile,Future,You,You will smile,tu dê (bu OW) girnijî,تو دێ گرنژی
Smile,Future,He/She,He/She will smile,ew dê (bu OW) girnijit,ئەو دێ گرنژیت
Smile,Future,We,We will smile,em dê (bu OW) girnijîn,ئەم دێ گرنژین
Smile,Future,You (pl.),You will smile,hîn dê (bu OW) girnijin,ھین دێ گرنژن
Smile,Future,They,They will smile,ew dê (bu OW) girnijin,ئەو دێ گرنژن
Smoke,Past,I,I smoked,min  keyşa,من كەیشا
Smoke,Past,You,You smoked,te  keyşa,تە كەیشا
Smoke,Past,He/She,He/She smoked,ewî/ewê  keyşa,ئەوی/ئەوێ كەیشا
Smoke,Past,We,We smoked,me  keyşa,مە كەیشا
Smoke,Past,You (pl.),You smoked,hewe  keyşa,ھەوە كەیشا
Smoke,Past,They,They smoked,ewan  keyşa,ئەوان كەیشا
Smoke,Present,I,I smoke,ez  di keşim,ئەز د كەشم
Smoke,Present,You,You smoke,tu  di keşî,تو د كەشی
Smoke,Present,He/She,He/She smokes,ew  di keşit,ئەو د كەشیت
Smoke,Present,We,We smoke,em  di keşîn,ئەم د كەشین
Smoke,Present,You (pl.),You smoke,hîn  di keşin,ھین د كەشن
Smoke,Present,They,They smoke,ew  di keşin,ئەو د كەشن
Smoke,Future,I,I will smoke,ez dê  keşim,ئەز دێ كەشم
Smoke,Future,You,You will smoke,tu dê  keşî,تو دێ كەشی
Smoke,Future,He/She,He/She will smoke,ew dê  keşit,ئەو دێ كەشیت
Smoke,Future,We,We will smoke,em dê  keşîn,ئەم دێ كەشین
Smoke,Future,You (pl.),You will smoke,hîn dê  keşin,ھین دێ كەشن
Smoke,Future,They,They will smoke,ew dê  keşin,ئەو دێ كەشن
Smuggle From,Past,I,I smuggled from,min  bi qaça''î îna,من ب قاچاغی ئینا
Smuggle From,Past,You,You smuggled from,te  bi qaça''î îna,تە ب قاچاغی ئینا
Smuggle From,Past,He/She,He/She smuggled from,ewî/ewê  bi qaça''î îna,ئەوی/ئەوێ ب قاچاغی ئینا
Smuggle From,Past,We,We smuggled from,me  bi qaça''î îna,مە ب قاچاغی ئینا
Smuggle From,Past,You (pl.),You smuggled from,hewe  bi qaça''î îna,ھەوە ب قاچاغی ئینا
Smuggle From,Past,They,They smuggled from,ewan  bi qaça''î îna,ئەوان ب قاچاغی ئینا
Smuggle From,Present,I,I smuggle from,ez  bi qaça'' di înim,ئەز ب قاچاغ د ئینم
Smuggle From,Present,You,You smuggle from,tu  bi qaça'' di înî,تو ب قاچاغ د ئینی
Smuggle From,Present,He/She,He/She smuggles from,ew  bi qaça'' di înit,ئەو ب قاچاغ د ئینیت
Smuggle From,Present,We,We smuggle from,em  bi qaça'' di înîn,ئەم ب قاچاغ د ئینین
Smuggle From,Present,You (pl.),You smuggle from,hîn  bi qaça'' di înin,ھین ب قاچاغ د ئینن
Smuggle From,Present,They,They smuggle from,ew  bi qaça'' di înin,ئەو ب قاچاغ د ئینن
Smuggle From,Future,I,I will smuggle from,ez dê  bi qaça'' înim,ئەز دێ ب قاچاغ ئینم
Smuggle From,Future,You,You will smuggle from,tu dê  bi qaça'' înî,تو دێ ب قاچاغ ئینی
Smuggle From,Future,He/She,He/She will smuggle from,ew dê  bi qaça'' înit,ئەو دێ ب قاچاغ ئینیت
Smuggle From,Future,We,We will smuggle from,em dê  bi qaça'' înîn,ئەم دێ ب قاچاغ ئینین
Smuggle From,Future,You (pl.),You will smuggle from,hîn dê  bi qaça'' înin,ھین دێ ب قاچاغ ئینن
Smuggle From,Future,They,They will smuggle from,ew dê  bi qaça'' înin,ئەو دێ ب قاچاغ ئینن
Smuggle To,Past,I,I smuggled to,min  bi qaça''î bir,من ب قاچاغی بر
Smuggle To,Past,You,You smuggled to,te  bi qaça''î bir,تە ب قاچاغی بر
Smuggle To,Past,He/She,He/She smuggled to,ewî/ewê  bi qaça''î bir,ئەوی/ئەوێ ب قاچاغی بر
Smuggle To,Past,We,We smuggled to,me  bi qaça''î bir,مە ب قاچاغی بر
Smuggle To,Past,You (pl.),You smuggled to,hewe  bi qaça''î bir,ھەوە ب قاچاغی بر
Smuggle To,Past,They,They smuggled to,ewan  bi qaça''î bir,ئەوان ب قاچاغی بر
Smuggle To,Present,I,I smuggle to,ez  bi qaça'' di bem,ئەز ب قاچاغ د بەم
Smuggle To,Present,You,You smuggle to,tu  bi qaça'' di bê,تو ب قاچاغ د بێ
Smuggle To,Present,He/She,He/She smuggles to,ew  bi qaça'' di bet,ئەو ب قاچاغ د بەت
Smuggle To,Present,We,We smuggle to,em  bi qaça'' di bên,ئەم ب قاچاغ د بێن
Smuggle To,Present,You (pl.),You smuggle to,hîn  bi qaça'' di ben,ھین ب قاچاغ د بەن
Smuggle To,Present,They,They smuggle to,ew  bi qaça'' di ben,ئەو ب قاچاغ د بەن
Smuggle To,Future,I,I will smuggle to,ez dê  bi qaça'' bem,ئەز دێ ب قاچاغ بەم
Smuggle To,Future,You,You will smuggle to,tu dê  bi qaça'' bê,تو دێ ب قاچاغ بێ
Smuggle To,Future,He/She,He/She will smuggle to,ew dê  bi qaça'' bet,ئەو دێ ب قاچاغ بەت
Smuggle To,Future,We,We will smuggle to,em dê  bi qaça'' bên,ئەم دێ ب قاچاغ بێن
Smuggle To,Future,You (pl.),You will smuggle to,hîn dê  bi qaça'' ben,ھین دێ ب قاچاغ بەن
Smuggle To,Future,They,They will smuggle to,ew dê  bi qaça'' ben,ئەو دێ ب قاچاغ بەن
Sneeze,Past,I,I sneezed,ez behnijîm,ئەز بەھنژیم
Sneeze,Past,You,You sneezed,tu behnijî,تو بەھنژی
Sneeze,Past,He/She,He/She sneezed,ew behnijî,ئەو بەھنژی
Sneeze,Past,We,We sneezed,em behnejîn,ئەم بەھنەژین
Sneeze,Past,You (pl.),You sneezed,hîn behnejîn,ھین بەھنەژین
Sneeze,Past,They,They sneezed,ew behnejîn,ئەو بەھنەژین
Sneeze,Present,I,I sneeze,ez di bêhnijim,ئەز د بێھنژم
Sneeze,Present,You,You sneeze,tu di bêhnijî,تو د بێھنژی
Sneeze,Present,He/She,He/She sneezes,ew di bêhnijit,ئەو د بێھنژیت
Sneeze,Present,We,We sneeze,em di bêhnijîn,ئەم د بێھنژین
