English,Kurdish (Latin),Kurdish (Arabic Script),Arabic,Transliteration
delicious,şrîne,شرینە,لذيذ,shreene
delightful,dil şadî,دل شادی,لذيذ,dul shadee
unfortunately,nexweş bextane,نەخوەش بەختانە,لسوء الحظ,nexwesh bextane
unluckily,nexweş bextane,نەخوەش بەختانە,لسوء الحظ,nexwesh bextane
burglar,diz,دز,لص,duzeeker
thief,diz,دز,لص,duzeeker
thief,dizîker,دزیكەر,لص,duzeeker
paste,me'cun,مەعجون,لصق,me'jn
paste (computer),likandin,لکاندن,لصق (كمبيوتر),lukandun
kindness,dil nazkî,دلنازكی,لطف,dul nazkee
kindness,diluvanî,دلوڤانى,لطف,duluvanee
gentle,dil nerim,دلنەرم,لطيف,dul nerum
gentle,sernerm,سه‌رنه‌رم,لطيف,dul nerum
nice,xuşe,خوشە,لطيف,xushe
pleasant,xem revîn,خەم رەڤین,لطيف,xem reveen
pleasant,xoş,خۆش,لطيف,xem reveen
play,lîstin,لیستن,لعب,"yaree krun, leestun"
play,yarî kirin,یارى کرن,لعب,"yaree krun, leestun"
play (game),yarî kirin,یارى کرن,لعب,yaree krun
play (an instrument),"lê dan, lê bide",لێ دان، لێ بدە,لعب (الأداء),"lê dan, lê bude"
play animal,dileyzin,دلەیزن,لعب الحيوان,duleyzun
gambling,qumar,قومار,لعب القمار,qumar
game,yarî,یارى,لعبة,yaree
toy,l'bik,لعبک,لعبة,l'buk
die play,zar,زار,لعبة ألموت,zar
checkers,damanê,دامانێ,لعبة الداما,damanê
cricket,"sîrisîruk , sîsîrik",سیرسیروك ، سیسیرك,لعبة الكريكيت,"seeruseeruk , seeseeruk"
football game,yariya tepapêy,یاریا تەپاپێی,لعبة كرة القدم,yaruya tepapêy
soccer game,yariya tepapêy,یاریا تەپاپێی,لعبة كرة القدم,yaruya tepapêy
card game,"terqê , kukan",تەرقێ ، کوکان,لعبة ورق,"terqê , kkan"
lick,alastin,ئالاستن,لعق,dabesh
lick,alîstin,ئالیستن,لعق,dabesh
lick,zimanê xo lê dan,زمانێ خۆ لێ دان,لعق,dabesh
curse,nifirandin,نفراندن,لعنة,nufurandun
curse,nifrîn,نفرین,لعنة,nufreen
curse,nefret,نەفرەت,لعنة,nefret
playful,leyzuk,لەیزوك,لعوب,leyzuk
language,ziman,زمان,لغة,zuman
puzzle,"luẍz , puzil",لوغز ، پوزل,لغز,"luẍz , puzul"
land mine,"teqe menî , qubale , bumbe",تەقە مەنی ، قوبالە ، بومبە,لغم أرضي,"teqe menee , qubale , bumbe"
mine (bomb),bumbe,بومبە,لغم أرضي,"teqe menee , qubale , bumbe"
mine (bomb),"teqe menî , qubale",تەقە مەنی ، قوبالە,لغم أرضي,"teqe menee , qubale , bumbe"
mine (bomb),mîna,مینا,لغم أرضي,meena
linguist,zimanizan,زمانزان,لغوي,zumanuzan
rotating,zivirîn,زڤرین,لف,dayre
wrap,pêçan,پێچان,لف,pêchan
wrap,tê aland,تێ ئالاند,لف,tê aland
wrap,tê werkirin,تێ وەرکرن,لف,tê werkrun
turnip,şêlim,شێلم,لفت نبات,shêlum
for a while,demekê kurt,دەمەكێ كورت,لفترة وجيزة,demekê krt
phonetic,dengî,دەنگى,لفظي,dengee
meeting,kumbûn,كومبوون,لقاء,kmbûn
surname,nav û deng,ناڤ و دەنگ,لقب,nav û deng
I have decided to follow him,ez dê briyardem digel wî biçim,ئە‌ز دێ بریاردە‌م دگە‌ل وی بچم,لقد قررت أن يتبعوھ,ez dê bruyardem dugel wee buchum
I've been to Egypt 5 months ago,berî pênç heyiva ez li msirê bûm,بەری پێنچ ھەیڤا ئەز ل مسرێ بووم,لقد كنت في مصر قبل 5 أشھر,beree pênch ḧeyuva ez lu msurê bûm
I've been here for about 1 year,eve yek sal ez li vêrê,ئەڤە یە‌ک سال ئەز ل ڤێرێ,لقد كنت ھنا لمدة 1 سنة,eve yek sal ez lu vêrê
screenshot,dîmen li ser şaşe,دیمه‌ن ل سه‌ر شاشه‌,لقطة شاشة,deemen lu ser shashe
morsel,parî,پاری,لقمة,"germa, germaḧee"
yours,yateye,یاتەیە,لك,yateye
per,pîrrig,پیڕگ,لكل,peerrug
punch,kun diket,كون دكەت,لكمة,kn duket
punch,kulman,کولمان,لكمة,kn duket
Hole Punch,"taqîbe , saqîbe",تاقیبە ، ساقیبە,لكمة ثقب,"taqeebe , saqeebe"
but,"lê , bes",لێ ، بەس,لكن,"lê , bes"
sadly,Bi xemgînî,ب خه‌مگینی,للأسف,velurand
be persecuted,tengavî kêşan,تەنگاڤی کێشان,للاضطھاد,tengavee kêshan
on sale,frotanê,فرۆتانێ,للبيع,frotanê
deployable,guhêzbar,گوهێزبار,للنشر,guḧêzbar
dislike,ne ecbandin,نه‌ ئه‌جباندن,لم يعجبنى,ne ejbandun
dislike,ne hezkirin,نه‌ هه‌زکرن,لم يعجبنى,ne ḧezkrun
platitude,puçî,پوچى,لماذا,puchee
why,buçî,بوچى,لماذا,buchee
Why do you get angry?,boçî tu yê torey?,بۆچی تو یێ تۆرەی؟,لماذا انت غاضب ؟,bochee tu yê torey?
Why are you not married?(man),boçî tu jnê na înî?,بۆچی تو ژنێ نا ئینی؟,لماذا لم تتزوج ؟ (رجل),bochee tu zhnê na eenee?
Why didn't you answer?,boçî te bersva min neda?,بۆچی تە بەرسڤا من نەدا؟,لماذا لم تجب؟,bochee te bersva mun neda?
touch,pêgirîtin,پێگریتن,لمس,"pêgureetun , dest lêdan"
touch,destdanî,ده‌ستدانی,لمس,"pêgureetun , dest lêdan"
touch,dest lêdan,دەست لێدان,لمس,"pêgureetun , dest lêdan"
our,yame,یامە,لنا,yame
ours,yameye,یامەیە,لنا,yameye
us,me,مە,لنا,me
let's go,da biçîn,دا بچین,لنذھب,da bucheen
let's go,rrê bike ‌ve,ڕێ بكە ‌ڤە,لنذھب,rrê buke ‌ve
gasp,"mereqdar, helkelk",مەرەقدار، هه‌لکه‌لک,لهاث,"mereqdar, ḧelkelk"
pant,"mereqdar, helkelk",مەرەقدار، هه‌لکه‌لک,لهاث,"mereqdar, ḧelkelk"
him,wî,وى,لھ,wee
his,yawî,یاوى,لھ,yawee
her,wê,وێ,لھا,wê
hers,yawê ye,یاوێ یە,لھا,yawê ye
pant,helm diket,ھەلم دكەت,لھاث,ḧelm duket
flame,xetîr,خەتیر,لھب,xeteer
flame,gurriya agirî,گوڕیا ئاگری,لھب,gurruya aguree
accent,zarav,زاراڤ,لھجة,zarav
dialect,zarava,زاراڤا,لھجة,zumanekê taybet
dialect,zimanekê taybet,زمانەكێ تایبەت,لھجة,zumanekê taybet
so that,da ku,دا کو,لھذا السبب.,"da k , lewma"
so that,lewma,لەوما,لھذا السبب.,"da k , lewma"
theirs,yawane,یاوانە,لھم,yawane
lotus,nebuk,نەبوك,لوتس,nebuk
defile,pîs kirin,پیس کرن,لوث,pees krun
defile,kirêt kirin,کرێت کرن,لوث,krêt krun
defile,herimandin,هه‌رماندن,لوث,krêt krun
panel,dep,ده‌پ,لوجة,dep
tablet (pill),ḧabik,حابك,لوح,ḧabuk
plank,textedar,تەختەدار,لوح خشب,textedar
painting,resimandin,ڕه‌سماندن,لوحة,resumandun
painting,"wêne , lewḧe",وێنە ، لەوحە,لوحة,"wêne , lewḧe"
panel,desteka dadibexşan,دەستەكا دادبەخشان,لوحة,desteka dadubexshan
bulletin board,lewḧa i'lana,لەوحا ئعلانا,لوحة إعلانات,lewḧa u'lana
painter is painting a wall,boyaẍçî diywarî buyaẍ diket,بۆیاغچی دیواری بویاغ دکەت,لوحة رسام  الجدارية,boyaẍchee duywaree buyaẍ duket
almond,bahîv,باھیڤ,لوز,baḧeev
tonsil,bela'îm,بەلاعیم,لوزة الحلق,bela'eem
blame,gunehbar kirin,گونه‌هبار کرن,لوم,guneḧbar krun
green,terr,ته‌ڕ,لون أخضر,jdeed
deep color,rengên garî,رەنگێن گارى,لون عميق,rengên garee
light color,renikîn febî,رەنكین فەبى,لون فاتح,renukeen febee
me,min,من,لي,mun
my,min,من,لي,mun
Libya,lîbiya,لیبیا,ليبيا,leebuya
not,ne,نە,ليس,ne
night,şev,شەڤ,ليل,shev
last night,şuvê dî,شوڤێ دی,ليلة أمس,shuvê dee
good night (plural),şeva hewe xoş,شەڤا ھەوە خوش,ليلة سعيدة (الجمع),sheva ḧewe xosh
good night (singular),şeva te xoş,شەڤا تە خوش,ليلة سعيدة (المفرد),sheva te xosh
lemon,"mîmuk , lîmun",میموك ، لیمون,ليمون,"meemuk , leemun"
kurdish letter 25 (“ll” sound),ĺ,ڵ,ڵ,ĺ
kurdish letter 26 (“m” sound),m,م,م,m
plight,tengavî,ته‌نگاڤی,مأزق,mesafe
tragedy,tiracêdîye,تراجێدییە,مأساة,turajêdeeye
tragic,qehrî,قەھرى,مأساوي,qeḧree
familiar,bernas,به‌رناس,مألوف,berunyas
familiar,berinyas,بەرنیاس,مألوف,berunyas
familiar,"nas , nasîyar",ناس ، ناسیار,مألوف,"nas , naseeyar"
boarding house,xan,خان,مأوى,xan
refuge,penageh,په‌ناگه‌ھ,مأوى,penageḧ
shelter,parastin,پاراستن,مأوى,parastun
shelter,penageh,په‌ناگه‌ھ,مأوى,penageḧ
shelter,kepir,که‌پر,مأوى,kepur
conspiracy,pîlangerî,پیلانگه‌ری,مؤامرة,peelangeree
conspiracy,dariştin,دارشتن,مؤامرة,peeshk
conspiracy,darrşitî,داڕشتی,مؤامرة,peeshk
conspiracy,muamire,موئامرە,مؤامرة,muamure
influential,dest heladar,دەست ھەلادار,مؤثر,dest ḧeladar
influential,kartêker,کارتێکه‌ر,مؤثر,kartêker
postponed,"paşxistî, paşvexistin, danpaş",پاشخستی، پاشڤه‌خستن، دانپاش,مؤجل,"pashxustee, pashvexustun, danpash"
lately,dumahî yê,دوماھى یێ,مؤخرا,dumaḧee yê
recently,vê dumahêy,ڤێ دوماھێى,مؤخرا,vê dumaḧêy
back of the head,patik,پاتک,مؤخرة الرأس,patuk
founder,damezrîner,دامه‌زرینه‌ر,مؤسس,te'een
foundation,binyat,بنیات,مؤسسة,bunyat
foundation,damez randin,دامەزراندن,مؤسسة,damez randun
foundation,dezgeh,ده‌زگه‌ھ,مؤسسة,dezgeḧ
foundation,sazî,سازی,مؤسسة,sazee
institution,damezirandin,دامەزراندن,مؤسسة,damezurandun
charity,xêr,خێر,مؤسسة خيرية,xêr
charity,"xêrkirin , xêrkarî",خێرکرن ، خێرکاری,مؤسسة خيرية,"xêrkrun , xêrkaree"
indicator,nîşaniker,نیشانكەر,مؤشر,neeshanuker
pointer,mîl,میل,مؤشر,meel
temporary,beriwext,بەروەخت,مؤقت,beruwext
temporary,"demkî, miweqet",ده‌مکی، موه‌قه‌ت,مؤقت,"demkee, muweqet"
author,nivêsevan,نڤێسەڤان,مؤلف,nuvêsevan
painful,êşdar,ئێشدار,مؤلم,êshdar
believer,bawerdar,باوەردار,مؤمن,bawerdar
believer,mu'min,موعمن,مؤمن,mu'mun
believer (strong),dîndar,دیندار,مؤمن (قوية),deendar
eligible,mafdar,مافدار,مؤهل,"rast , durust"
supporter,alîgir,ئالیگر,مؤيد، مشجع، داعم,"tageer, aleegur, pushutevan"
supporter,pişitevan,پشتەڤان,مؤيد، مشجع، داعم,"tageer, aleegur, pushutevan"
supporter,tagîr,تاگیر,مؤيد، مشجع، داعم,"tageer, aleegur, pushutevan"
"100,000",sad hezar,ساد ھەزار,مئة ألف,sad ḧezar
250,rib'ek,٢٥٠ ، دوو ساد و پێنجی ، ربعەك,مئتان وخمسون,rub'ek
What kinds of car do you have?,te çi tirumbêl heye?,تە چ ترومبێل ھەیە؟,ما أنواع السيارات التي لديك؟,te chu turumbêl ḧeye?
What kinds of car do you want?,te çi tirumbêl divêt?,تە چ ترومبێل دڤێت؟,ما أنواع السيارات تريد؟,te chu turumbêl duvêt?
What is your news?,deng û basêt te çne?,دەنگ و باسێت تە چنە؟,ما اخبارك؟,deng û basêt te chne?
What's your name?,navê te çiye?,ناڤێ تە چیە؟,ما اسمك؟,navê te chuye?
What's up?,çi dikey?,چ دکەی؟ ، تە خێرە؟,ما الجديد؟,chu dukey?
what is wrong?,te xêre,تە خێرە,ما الخطأ؟,te xêre
what is the problem?,te çi arîşe heye?,تە چ ئاریشە هەیە؟,ما المشكلة؟,te chu areeshe ḧeye?
unless,eger ne,ئه‌گه‌ر نه‌,ما لم,eger ne
unless,heke na,هه‌که‌ نا,ما لم,heke na
What's that?,ewahe çiye?,ئەواھە چیە؟,ما ھذا؟,ewaḧe chuye?
What's this?,eve çiye?,ئەڤە چیە؟,ما ھذا؟,eve chuye?
What direction?,li kîş aliye?,ل کیش ئالیە؟,ما ھو الاتجاھ؟,lu keesh aluye?
What is your solution?,te çi ḧl heye? te çi rêk heye?,تە چ حل ھەیە؟ تە چ رێك ھەیە؟,ما ھو الحل؟,te chu ḧl ḧeye? te chu rêk ḧeye?
What's your job?,to çi şul dikey?,تۆ چ شول دکەی؟,ما ھو عملك؟,to chu shul dukey?
What's your job?,şulê te çiye?,شولێ تە چیە؟,ما ھو عملك؟,shulê te chuye?
What's your news?,deng û basê te çne?,دەنگ و باسێ تە چنە؟,ما ھي أخبارك؟,deng û basê te chne?
What is your birth year?,mwalîda te çende?,موالیدا تە چەندە؟,ما ھي سنة ولادتك؟,mwaleeda te chende?
overseas,paş deryayî,پاش دەریایى,ما وراء البحار,pash deryayee
overseas,xarc,خارج,ما وراء البحار,xarj
equivalent,"bergend, temet, hevber",به‌رگه‌ند، ته‌مه‌ت، هه‌ڤبه‌ر,ما يعادل,"bergend, temet, ḧevber"
water,av,ئاڤ,ماء,av
distilled water,ava dilopandî,ئاڤا دلۆپاندی,ماء مقطرة,ava dulopandee
100,sad,١٠٠ ، ساد,مائة,sad
wavy (hair),xeleka gir,خەلەکا گر,مائج (الشعر),xeleka gur
italic,xwarî,خواری,مائل,xwaree
material,"kerese, malzeme, dravî",که‌ره‌سه‌، مالزه‌مه‌، دراڤى,مادة,"kerese, malzeme, dravee"
materialism,"madexwazîtî, materyalîzimê",ماده‌خوازیتی، ماته‌ریالیزمێ,مادية,"madexwazeetee, materyaleezumê"
materialism,madexwazî,مادەخوازى,مادية,madexwazee
what,çî,چی,ماذا,chee
What did you buy?,te çi krî?,تە چ کری؟,ماذا اشتريت؟,te chu kree?
what else,çi dî,چ دی,ماذا بعد,chu dee
What do you want to be in the future?,dipaşerrojêda te divêt bibîye çî?,دپاشەڕۆژێدا تە دڤێت ببییە چی؟,ماذا تريد أن تكون في المستقبل؟,dupasherrozhêda te duvêt bubeeye chee?
What do you do?,çi dikey?,چ دکەی؟,ماذا تفعل؟,chu dukey?
What happen?,çi çê bû?,چ چێ بوو؟,ماذا حدث؟,chu chê bû?
What did you lost?,te çi berize kriye?,تە چ بەرزە کریە؟,ماذا كنت فقدت؟,te chu beruze kruye?
march,marş,مارش,مارس,marsh
march,"meş, rêpîvan",مه‌ش، ڕێپیڤان,مارس,"mesh, rêpeevan"
March,"heyiva sê, adar, meha 3 yê",ھەیڤا سێ، ئادار، مه‌ها ۳ یێ,مارس,"ḧeyuva sê, adar, meḧa 3 yê"
marshal,marşal,مارشال,مارشال,marshal
bricklayer lays a wall,nijiyar diywarî dinijnît,نژیار دیواری دنژنیت,ماسون يضع جدار,nuzhuyar duywaree dunuzhneet
cattle,giyanewer,گیانەوەر,ماشية,guyanewer
procrastinate,"gîro kirin, dirêj kirin",گیرۆ کرن، درێژ کرن,ماطل,"geero krun, durêzh krun"
salty,têrxwê,تێرخوێ,مالح,sêr
salty,sûr,سوور,مالح,sêr
salty,şor,شۆر,مالح,sêr
owner,xudan,خودان,مالك,xudan
financial,darayî,دارایى,مالي,darayee
Malaysia,malîzîya,مالیزیا,ماليزيا,maleezeeya
What day is it today?,evro çi roje?,ئەڤرۆ چ رۆژە؟,ماھو اليوم؟,evro chu rozhe?
match,yarî,یارى,مباراة,yaree
match (for fight),hevirikî,هه‌ڤركی,مباراة,ḧevurukee
match stick,zilik,زلک,مباراة العصا,zuluk
match (for fire),kfrît,کفریت,مباريات,kfreet
direct,"areste diket , rêvedibît",ئارەستە دکەت ، رێڤەدبیت,مباشرة,"areste duket , rêvedubeet"
directly,îkiser,ئیكسەر,مباشرة,eekser
exaggerate,zêde kirin,زێده‌ کرن,مبالغة,"zêde krun, nepxandun"
exaggerate,nepxandin,نه‌پخاندن,مبالغة,"zêde krun, nepxandun"
censer,bixwîrdank,بخویردانک,مبخرة,buxweerdank
censer,bêhinxweşdank,بێهنخوه‌شدانک,مبخرة,bêḧunxweshdank
programmer,miberimic,مبەرمج,مبرمج,muberumuj
congratulation,pîroz bît,پیرۆز بیت,مبروك,peeroz beet
congratulation,pîrozbahî,پیرۆزباهی,مبروك,peerozbaḧee
scatter,bijalle kirin,بژاڵە کرن,مبعثر,buzhalle krun
scatter,verrevandîn,ڤه‌ڕه‌ڤاندین,مبعثر,buzhalle krun
wet,terr,تەڕ,مبلل,terr
wet,şil,شل,مبلل,shul
dazzling,pir geş,پر گه‌ش,مبهر,ḧesab
dazzling,teysok,ته‌یسۆک,مبهر,ḧesab
dazzling,lezîz,له‌زیز,مبهر,ḧesab
opaque,tarî,تاری,مبهمة,taree
late,direng,درەنگ,متأخر,dureng
overtime,demê zîdekirî,دەمێ زیدەكرى,"متأخر ,  بعد فوات الوقت",demê zeedekree
vacillate,guherbar,گوهه‌ربار,متأرجح,dabureen
inherent,zikmakî,زكماكى,متأصل,zukmakee
followers,dîvelanikên,دیڤه‌لانکێن,متابعون,"peyrew, shopeener, mureed"
available,berdest,بەردەست,متاح,berdest
available,ḧazir,حازر,متاح,ḧazur
shop,dikan,دكان,متجر,dukan
shop (second-hand),dikana bala,دكانا بالا,متجر (مستعملة),dukana bala
store (second-hand),dikana bala,دكانا بالا,متجر (مستعملة),dukana bala
wrinkled,qormçî,قۆرمچی,متجعد,qormchee
heading to,qest kirin,قەست کرن,متجه الى,qest krun
itinerant,gerok,گه‌رۆک,متجول,kevan
united,êkgirtî,ئێکگرتی,متحد,êkgurtee
united,hevgirtî,هه‌ڤگرتی,متحد,ḧevgurtee
united,"yekgirtî, yekbûyî",یه‌کگرتی، یه‌کبوویی,متحد,"yekgurtee, yekbûyee"
movable,livînbar,لڤینبار,متحرك,luveenbar
moving,barkirin,بارکرن,متحرك,barkrun
moving,"livok, livbar",لڤۆک، لڤبار,متحرك,"luvok, luvbar"
civilized,şaristanî ye,شارستانى یە,متحضر,sharustanee ye
museum,metḧef,مەتحەف,متحف,"metḧef , muze xane"
museum,muze xane,موزە خانە,متحف,"metḧef , muze xane"
museum,mozexane,مۆزەخانە,متحف,mozexane
enthusiastic,dilgerm,دلگه‌رم,متحمس,dulgerm
keen,xwîn gerim,خوین گەرم,متحمس,xween gerum
zealous,bi tevger,ب ته‌ڤگه‌ر,متحمس,bu tevger
zealous,bi xîret,ب خیره‌ت,متحمس,bu xeeret
zealous,xîn gerim,خین گەرم,متحمس,xeen gerum
perplexed,alozbûn,ئالۆزبوون,متحير,alozbûn
puzzled,ḧêbetî ma,حێبەتى ما,متحير,ḧêbetee ma
religious,ayîndar,ئاییندار,متدين,ayeendar
religious,ayînî,ئایینی,متدين,ayeenee
religious,dîndar,دیندار,متدين,deendar
churner,meşik,مه‌شک,متذبذب,meshuk
meter,mitir,متر,متر,mutur
square Meters,mitir du ca,متر دو جا,متر مربع,mtur du ja
cubic meters,mtir sê ca,متر سێ جا,متر مكعب,mtur sê ja
barricade,berbest,به‌ربه‌ست,متراس,spas
barricade,çeperî,چه‌په‌ری,متراس,spas
interpreter,"terciman , mtircim",تەرجمان ، مترجم,مترجم,"terjman , mturjm"
hesitant,dudil,دودل,متردد,dudul
simultaneous,hevdem,هه‌ڤده‌م,متزامنة,jt
simultaneous,hevwext,هه‌ڤوه‌خت,متزامنة,jt
growing,şînbûn,شینبوون,متزايد,"geshekrun, werarbûn, sheenbûn"
growing,geşekirin,گه‌شه‌کرن,متزايد,"geshekrun, werarbûn, sheenbûn"
growing,werarbûn,وه‌راربوون,متزايد,"geshekrun, werarbûn, sheenbûn"
married,jin înay,ژن ئینای,متزوج,zhun eenay
tolerant,lê borî,لێ بۆرى,متسامح,lê boree
equal and fair,dad perwer,داد پەروەر,متساوية وعادلة,dad perwer
dirty,herimî,هه‌رمی,متسخ,têkdan
bossy,"zorkar, çêl, golik",زۆرکار، چێل، گۆلک,متسلط,"zorkar, chêl, goluk"
dominating,"zalkirin, zalbûn, zal",زالکرن، زالبوون، زال,متسلط,"zalkrun, zalbûn, zal"
beggar,parsek,پارسه‌ک,متسول,parsek
beggar,xwazok,خوازۆک,متسول,xwazok
beggar,geda,گه‌دا,متسول,geda
pessimist,reşbîn,رەشبین,متشائم,reshbeen
pessimistic,reşbîn,رەشبین,متشائم,reshbeen
militant,çekdar,چه‌کدار,متشدد,chekdar
manifold,"corawcor, cûr bi cûr",جۆراوجۆر، جوور ب جوور,متشعب,"jorawjor, jûr bu jûr"
manifold,hemecor,هه‌مه‌جۆر,متشعب,parche
convulsing,lerizîn,له‌رزین,متشنج,krtazh
radical,rhdar,رھدار,متطرف,rḧdar
volunteer,xwebexşkirî,خوەبەخشكرى,متطوع,xwebexshkree
tired,te'bî,تەعبى,متعب,"te'bee , westay"
tired,westay,وەستای,متعب,"te'bee , westay"
wearisome,renckêş,ڕه‌نجکێش,متعب,renjkêsh
pleasure,"xoşî , keyf",خۆشی ، کەیف,متعة,"xoshee , keyf"
transitive,têper,تێپەر,متعد,"derbazee , karê têper"
transitive,derbazî,دەربازی,متعد,"derbazee , karê têper"
transitive,karê têper,کارێ تێپەر,متعد,"derbazee , karê têper"
versatile,"pirralî, jêhatî",پڕالی، ژێهاتی,متعدد الجوانب والاستعمالات,"purralee, zhêḧatee"
squiggly,kurt û alandî,کورت و ئالاندی,متعرج,krt û alandee
zigzag,zîgizag,زیگزاگ,متعرج,zeeguzag
fanatic,demargîr,ده‌مارگیر,متعصب,demargeer
thirsty,têhnî,تێهنی,متعطش,têḧnee
deliberate,qesdî,قه‌سدی,متعمد,klund
deliberate,hizir kirin bi kûrî,هزر کرن ب کووری,متعمد,ḧuzur krun bu kûree
arrogant,avsor,چاڤسۆر,متغطرس,avsor
arrogant,xomezin diket,خۆمه‌زن دکه‌ت,متغطرس,xomezun duket
arrogant,difinbilind,دفنبلند,متغطرس,xomezun duket
arrogant,jixwerazî,ژخوه‌رازی,متغطرس,avsor
hopeful,hîvî dar,ھیڤی دار ، ب هیڤی,متفائل,ḧeevee dar
optimistic,geşbîn,گەشبین,متفائل,geshbeen
interactive,"karlêkirindar , bi hev ra",کارلێکرندار ، ب هه‌ڤ ڕا,متفاعل,"karlêkrundar , bu ḧev ra"
miscellaneous,hemecur,ھەمەجور,متفرقات,ḧemejr
superior,payebilind,پایه‌بلند,متفوق,payebulund
superior,payeberiz,پایه‌به‌رز,متفوق,payeberuz
superior,raser,ڕاسه‌ر,متفوق,payeberuz
retired,xanenşînikiriye,خانەنشینكریە,متقاعد,xanensheenukruye
retiree,karbes,کاربه‌س,متقاعد,karbes
fickle,guherbar,گوهه‌ربار,متقلب,dabureen
moody,dem demî,دەم دەمى,متقلب المزاج,dem demee
haughty,difinbilind,دفنبلند,متكبر,chav
irritable bowel syndrome,qulun,قولون,متلازمة القولون العصبي,qulun
veiled,"pûşîkirî, xêlîkirî",پووشیکری، خێلیکری,متلثم,"pûsheekree, xêleekree"
Itching,xurhandin,خورهاندن,متلهف، متشوق,xurḧandun
coherent,bi hevre,ب هه‌ڤره‌,متماسك,bu ḧevre
coherent,hevgritî,هه‌ڤگرتی,متماسك,ḧevgrutee
cohesive,yekbest,یه‌کبه‌ست,متماسك,yekbest
cohesive,yekgrtî,یه‌کگرتی,متماسك,yekgrtee
knit,vedihînt,ڤەدھینت,متماسكة,veduḧeent
insurgent,dijber,دژبه‌ر,متمرد,duzhber
insurgent,serhildêr,سه‌رهلدێر,متمرد,serḧuldêr
diverse,piralî,پرالی,متنوع,ḧesab
diverse,pircûn,پرجوون,متنوع,ḧesab
diverse,cihêreng,جهێره‌نگ,متنوع,ḧesab
negligent,pîte pê neker,پیتە پێ نەكەر,متھاون,peete pê neker
balanced,hevseng,هه‌ڤسه‌نگ,متوازن,dubêzheet
humble,dilnizm,دلنزم,متواضع,dulnuzm
humble,derûnbiçûk,ده‌روونبچووک,متواضع,derûnbuchûk
modest,vebwî,ڤەبوى,متواضع,vebwee
ferocious,qehirî,قه‌هری,متوحش,"ḧar, ḧêrs, ḧêch, qeḧree"
ferocious,"har, hêrs, hêç",هار، هێرس، هێچ,متوحش,"ḧar, ḧêrs, ḧêch, qeḧree"
savage,weḧşî,وەحشى,متوحش,weḧshee
swollen,werimî,وەرمی,متورم,werumee
average,tîkirayî,تیكرایى,متوسط,teekrayee
intermediate,navincî,ناڤنجى,متوسط,navunjee
medium,qayde,قایدە,متوسط,"navunjee , qayde , weset"
medium,navincî,ناڤنجی,متوسط,"navunjee , qayde , weset"
medium,weset,وەسەت,متوسط,"navunjee , qayde , weset"
when,kengî,كەنگى ، دەمێ,متى,kengee
when,"wextê , wekî",وەختێ ، وەکی,متى,"wextê , wekee"
When will the snow melt?,kengî dê befr ḧelît?,کەنگی دێ بەفر حەلیت؟,متى الثلوج تذوب؟,kengee dê befr ḧeleet?
perseverance,bizav,بزاڤ,مثابرة,buzav
example,nimûne,نموونە ، میناك,مثال,numûne
perfect,bêkêmasî,بێکێماسی,مثالي,"kamul, bêkêmasee"
perfect,temam,ته‌مام,مثالي,temam
perfect,kamil,کامل,مثالي,"kamul, bêkêmasee"
literate,rewşenbîr,رەوشەنبیر,مثقف,rewshenbeer
as,herweku,هەروەکو,مثل,ḧerwek
as,wek,وەك,مثل,wek
instance,nmune,نمونە,مثل,nmune
like,divêt,دڤێت,مثل,duvêt
like as,temet,ته‌مه‌ت,مثل,muḧabrat
proverb,metelek,مەتەلەك,مثل,metelek
stepsister,kiça zirbab,کچا زرباب,مثل اختي,kcha zurbab
like a jewel,gewher,گه‌وهه‌ر,مثل جوهرة,gewḧer
triangle,sêguşe,سێگوشە,مثلث,sêgushe
ice cream,dundirme,دوندرمه‌,مثلجات,dundurme
gay,qûnder,قوونده‌ر,مثلي الجنس,qûnder
homosexual,qûnde,قوونده‌,مثلي الجنس,qûnde
homosexual,lotî,لۆتی,مثلي الجنس,lotee
homosexual,nêrbaz,نێرباز,مثلي الجنس,nêrbaz
fruitful,adan,ئادان,مثمر,adan
fruitful,berdar,به‌ردار,مثمر,berdar
lodgement,hewandin,هه‌واندن,مثوى,ḧewandun
exciting,pardan,پاردان,مثير,pardan
sensational,hestiyar,هه‌ستیار,مثير,shareza
impressive,hestiyar,ھەستیار,مثير للإعجاب,ḧestuyar
controversial,bi niqaş,ب نقاش,مثيرة للجدل,bu nuqash
famine,"biris, biriç",برس، برچ,مجاعة,"burus, buruch"
famine,xela,خه‌لا,مجاعة,xela
famine,kulib,کولب,مجاعة,klub
grain field,dexilan,ده‌خلان,مجال الحبوب,dexulan
field of studying,bwarê xandinê,بوارێ خاندنێ,مجال الدراسة,bwarê xandunê
courtesy,xweşkirin,خوەشكرن,مجاملة,xweshkrun
for free,bê beramber,بێ بەرامبەر,مجانا,bê beramber
for free,belaş,بێ بەرامبەر,مجانا,belash
freely,bê beramber,بێ بەرامبەر,مجانا,bê beramber
complimentary,plankirin,پلانکرن,مجاني,plankrun
community,"civat, civak",جڤات، جڤاک,مجتمع,"jvat, jvak"
community,"civak , kumel",جڤاك ، کومەل,مجتمع,"jvak , kmel"
diligent,xîret,خیره‌ت,مجتهد,"zhêḧatee, baldar"
diligent,"jêhatî, baldar",ژێهاتی، بالدار,مجتهد,"zhêḧatee, baldar"
